日付け,終値,,,,,
９月 2021,381.57,,,,,
８月 2021,379.95,,,,,
７月 2021,364.57,,,,,
６月 2021,354.43,,,,,
５月2021,333.93,,,,,
４月2021,337.99,,,,,
３月 2021,319.13,,,,,
２月 2021,314.14,,,,,
１月 2021,314.56,,,,,
12月 2020,313.74,,,,,
11月 2020,299.62,,,,,
10月 2020,269.38,,,,,
９月 2020,277.84,,,,,
８月 2020,294.88,,,,,
７月 2020,265.79,,,,,
６月 2020,247.6,,,,,
５月2020,233.36,,,,,
４月2020,218.91,,,,,
３月 2020,190.4,,,,,
２月 2020,205.8,,,,,
１月 2020,219.07,,,,,
12月 2019,212.61,,,,,
11月 2019,205.1,,,,,
10月 2019,197.08,,,,,
９月 2019,188.81,,,,,
８月 2019,187.47,,,,,
７月 2019,191.1,,,,,
６月 2019,186.74,,,,,
５月2019,173.95,,,,,
４月2019,189.54,,,,,
３月 2019,179.66,,,,,
２月 2019,173.19,,,,,
１月 2019,168.16,,,,,
12月 2018,154.26,,,,,
11月 2018,169.37,,,,,
10月 2018,169.82,,,,,
９月 2018,185.79,,,,,
８月 2018,186.65,,,,,
７月 2018,176.45,,,,,
６月 2018,171.65,,,,,
５月2018,170.07,,,,,
４月2018,160.94,,,,,
３月 2018,160.13,,,,,
２月 2018,167.21,,,,,
１月 2018,169.4,,,,,
12月 2017,155.76,,,,,
11月 2017,155.15,,,,,
10月 2017,152.15,,,,,
９月 2017,145.45,,,,,
８月 2017,146.2,,,,,
７月 2017,143.23,,,,,
６月 2017,137.64,,,,,
５月2017,141.29,,,,,
４月2017,135.99,,,,,
３月 2017,132.38,,,,,
２月 2017,130.02,,,,,
１月 2017,124.57,,,,,
12月 2016,118.48,,,,,
11月 2016,117.5,,,,,
10月 2016,116.99,,,,,
９月 2016,118.72,,,,,
８月 2016,116.44,,,,,
７月 2016,115.23,,,,,
６月 2016,107.54,,,,,
５月2016,110.34,,,,,
４月2016,105.72,,,,,
３月 2016,109.2,,,,,
２月 2016,102.5,,,,,
１月 2016,104.13,,,,,
12月 2015,111.86,,,,,
11月 2015,114.02,,,,,
10月 2015,113.33,,,,,
９月 2015,101.76,,,,,
８月 2015,104.31,,,,,
７月 2015,111.95,,,,,
６月 2015,107.07,,,,,
５月2015,110.05,,,,,
４月2015,107.63,,,,,
３月 2015,105.6,,,,,
２月 2015,108.4,,,,,
１月 2015,101.1,,,,,
12月 2014,103.25,,,,,
11月 2014,106.01,,,,,
10月 2014,101.4,,,,,
９月 2014,98.79,,,,,
８月 2014,99.78,,,,,
７月 2014,95.02,,,,,
６月 2014,93.91,,,,,
５月2014,91.31,,,,,
４月2014,87.39,,,,,
３月 2014,87.67,,,,,
２月 2014,90.34,,,,,
１月 2014,85.91,,,,,
12月 2013,87.6,,,,,
11月 2013,85.38,,,,,
10月 2013,82.45,,,,,
９月 2013,78.55,,,,,
８月 2013,75.16,,,,,
７月 2013,75.46,,,,,
